ID,y
2672,-21.0
9362,5.083333333333343
8064,-20.33333333333333
5089,0.6666666666666714
124,9.666666666666655
13965,12.583333333333345
21884,-18.66666666666667
14682,10.75
18810,18.91666666666667
12530,11.5
21891,-11.666666666666671
18746,-19.08333333333333
7902,-20.166666666666657
475,5.583333333333329
23401,-17.583333333333343
14472,-18.58333333333333
7662,-15.25
23983,-17.25
12604,-20.083333333333343
21099,-18.0
21007,-17.916666666666657
11858,-20.08333333333333
8,-21.41666666666667
22497,-18.08333333333333
1127,-20.91666666666667
22055,2.9166666666666714
11936,10.75
24194,-17.66666666666667
12938,-20.0
21743,-17.833333333333343
21603,-18.0
11368,16.41666666666667
22960,-17.916666666666657
21480,11.083333333333329
17294,-19.0
18755,8.833333333333329
2710,1.0
23304,-17.16666666666667
8509,-20.08333333333333
2051,0.5833333333333286
23691,-17.25
20718,-19.416666666666657
10072,-20.41666666666667
17485,-19.0
20959,11.583333333333329
19574,-18.83333333333333
22139,-18.166666666666657
5776,-20.25
20435,-14.25
3226,-20.83333333333333
23189,-17.83333333333333
4344,-21.16666666666667
21559,-18.25
1110,8.916666666666671
19433,-18.666666666666657
10587,-19.58333333333333
24018,14.666666666666671
5002,-20.75
17579,-19.0
20280,-18.83333333333333
3566,7.75
22307,-17.58333333333333
6652,5.5
12718,7.083333333333343
24228,12.166666666666671
16605,-18.41666666666667
839,18.41666666666667
8600,9.916666666666671
5137,-20.583333333333343
13561,8.583333333333329
24957,-17.08333333333333
814,-21.0
12343,-20.66666666666667
10133,-18.91666666666667
3326,19.916666666666657
16344,-18.91666666666667
21102,8.416666666666657
20172,-18.58333333333333
4582,9.833333333333329
20202,3.75
9243,-15.083333333333329
1508,5.916666666666657
18314,-18.166666666666657
4256,-21.0
5293,20.91666666666667
22581,-17.5
20990,-18.16666666666667
21291,17.75
8841,-20.0
21945,6.083333333333329
3163,-21.5
1126,-20.91666666666667
21523,-18.08333333333333
12647,-19.916666666666657
24624,-17.083333333333343
10636,-19.58333333333333
20779,-17.16666666666667
7685,15.25
3217,18.166666666666657
24748,-17.0
16104,-19.0
3586,-15.583333333333329
20895,-18.16666666666667
22651,-18.0
19592,-18.75
9864,-20.08333333333333
24814,-17.166666666666657
22282,15.333333333333329
20305,-18.75
8297,-20.583333333333343
23562,-17.583333333333343
5946,-14.166666666666671
19587,2.1666666666666714
11402,-19.91666666666667
21162,-18.0
3994,14.916666666666655
22604,-17.583333333333343
6071,-20.75
19220,-18.75
22256,-18.08333333333333
24823,-17.666666666666657
17765,-19.0
17383,-19.58333333333333
5749,17.08333333333333
21228,-17.916666666666657
16088,-18.916666666666657
24448,-17.083333333333343
14462,0.5
24523,-17.333333333333343
9479,-20.333333333333343
22048,-18.166666666666657
2555,17.583333333333343
23167,13.416666666666671
15515,-19.08333333333333
2504,-20.75
4986,-21.08333333333333
23096,-17.41666666666667
11860,13.583333333333329
16298,18.75
13225,-19.666666666666657
3278,-20.83333333333333
14387,-18.33333333333333
